Species,CalendarYear,SpeciesType,SACN,Imports,Exports,Consumption,Production,Purchases,UKPOP,Protein_g100g,Omega3_DHAEPA_g100g,VitaminA_ľg100g,VitaminD_ľg100g,VitaminB12_ľg100g,Zinc_mg100g,Iron_mg100g,Calcium_mg100g,Selenium_ľg100g,Iodine_ľg100g
Plaice,2011,Marine,Lean,4349497000,438908000,7719805539,7723821735,NA,63285100,16.4,0.162398536,NA,NA,1.3,0.45,0.1,17,35,31
Plaice,2017,Marine,Lean,4152390000,1562965000,1658422663,7954860420,NA,66040200,16.4,0.162398536,NA,NA,1.3,0.45,0.1,17,35,31
Plaice,2018,Marine,Lean,3106480000,2125556000,1104720890,5569511490,NA,66435600,16.4,0.162398536,NA,NA,1.3,0.45,0.1,17,35,31
Plaice,2012,Marine,Lean,5143878000,330093000,1999126997,8438042745,NA,63705000,16.4,0.162398536,NA,NA,1.3,0.45,0.1,17,35,31
Plaice,2014,Marine,Lean,3941262000,324226000,3540432571,8614396935,NA,64596800,16.4,0.162398536,NA,NA,1.3,0.45,0.1,17,35,31
Plaice,2013,Marine,Lean,4389292000,456912000,3041619988,9551778930,NA,64105700,16.4,0.162398536,NA,NA,1.3,0.45,0.1,17,35,31
Plaice,2019,Marine,Lean,2212415000,1781973000,2202409252,4394547180,NA,66796800,16.4,0.162398536,NA,NA,1.3,0.45,0.1,17,35,31
Plaice,2016,Marine,Lean,3939536000,1082597000,2726457835,9550284345,NA,65648100,16.4,0.162398536,NA,NA,1.3,0.45,0.1,17,35,31
Plaice,2015,Marine,Lean,4073438000,424535000,2951761609,8493974775,NA,65110000,16.4,0.162398536,NA,NA,1.3,0.45,0.1,17,35,31
Pollock,2014,Marine,Lean,36323629000,3639093000,NA,1229207550,NA,64596800,16.4,0.133732218,NA,NA,2.32,0.39,0.18,12,27,56
